Date,Open,High,Low,Close,Adj Close,Volume
2023-07-24,397.480011,404.910004,396.609985,404.790009,402.413696,3029800
2023-07-25,403.369995,404.859985,401.000000,401.279999,398.924286,2490500
2023-07-26,399.179993,403.309998,395.750000,402.410004,400.047699,2572300
2023-07-27,405.190002,405.190002,393.950012,394.500000,392.184113,3563300
2023-07-28,397.959991,398.000000,388.880005,392.959991,390.653137,4501000
2023-07-31,393.970001,396.079987,392.470001,394.279999,391.965424,3578300
2023-08-01,393.779999,397.299988,392.359985,397.070007,394.739044,2344200
2023-08-02,393.880005,394.209991,389.579987,390.019989,387.730438,2410600
2023-08-03,387.559998,393.440002,386.420013,393.010010,390.702881,2190500
2023-08-04,391.609985,396.089996,390.070007,391.350006,389.052582,2215200
2023-08-07,393.000000,397.750000,393.000000,396.869995,394.540192,1559800
2023-08-08,396.179993,396.380005,390.130005,393.190002,390.881775,1747000
2023-08-09,393.859985,396.790009,391.869995,393.670013,391.359009,1806100
2023-08-10,396.459991,400.630005,395.709991,397.140015,394.808655,2154500
2023-08-11,395.750000,396.670013,392.809998,394.980011,392.661316,1464600
2023-08-14,396.450012,399.230011,394.609985,398.579987,396.240173,1638500
2023-08-15,397.489990,397.489990,393.589996,394.450012,392.134460,1753200
2023-08-16,393.440002,399.200012,393.119995,394.369995,392.054840,2002000
2023-08-17,396.140015,396.209991,390.989990,392.619995,390.315155,2118600
2023-08-18,389.820007,393.839996,388.829987,392.170013,389.867798,2001800
2023-08-21,393.209991,394.989990,391.019989,393.200012,390.891785,1869400
2023-08-22,395.000000,398.769989,393.679993,397.839996,395.504517,2422500
2023-08-23,399.269989,401.920013,398.359985,401.059998,398.705597,1943200
2023-08-24,401.589996,404.000000,397.500000,397.670013,395.335541,1970000
2023-08-25,400.649994,404.619995,399.000000,402.890015,400.524872,2154600
2023-08-28,404.000000,407.799988,403.149994,407.440002,405.048157,1901300
2023-08-29,407.420013,412.190002,406.589996,411.649994,409.233398,2188800
2023-08-30,414.779999,417.779999,413.519989,413.910004,411.480164,2516600
2023-08-31,414.209991,416.290009,411.779999,412.640015,410.217651,2535100
2023-09-01,413.839996,416.510010,412.489990,415.570007,413.130432,1840600
2023-09-05,413.350006,415.399994,409.700012,411.500000,409.084351,2045600
2023-09-06,410.779999,413.380005,408.890015,413.179993,410.754425,2292100
2023-09-07,411.920013,416.130005,411.730011,414.619995,412.186005,2502700
2023-09-08,415.000000,416.329987,413.859985,414.839996,412.404724,1868900
2023-09-11,416.850006,417.589996,414.640015,416.690002,414.243835,1544700
2023-09-12,415.950012,417.649994,415.250000,416.269989,413.826294,1997600
2023-09-13,416.170013,418.410004,414.970001,416.299988,413.856140,2142200
2023-09-14,418.299988,418.600006,407.779999,413.339996,410.913544,3557700
2023-09-15,411.859985,418.299988,411.140015,414.309998,411.877838,4753800
2023-09-18,413.880005,417.890015,413.040009,417.130005,414.681305,1808000
2023-09-19,416.959991,417.100006,411.100006,413.529999,411.102417,1730900
2023-09-20,413.769989,415.850006,410.079987,410.519989,408.110077,1580000
2023-09-21,408.339996,408.769989,402.100006,403.359985,400.992096,2450700
2023-09-22,404.390015,406.850006,401.559998,402.220001,399.858795,1885000
2023-09-25,400.600006,403.230011,399.839996,402.489990,400.127197,1846500
2023-09-26,400.000000,400.850006,393.609985,395.380005,393.058990,2940400
2023-09-27,396.209991,397.029999,391.480011,395.480011,393.158356,1987500
2023-09-28,395.829987,401.350006,395.369995,399.440002,397.095123,2216200
2023-09-29,402.029999,402.179993,394.250000,395.910004,393.585846,3032300
2023-10-02,393.600006,396.359985,392.450012,395.850006,393.526184,2856800
2023-10-03,394.500000,397.859985,388.970001,391.059998,388.764313,2527900
2023-10-04,392.000000,394.470001,388.579987,393.760010,391.448456,1813400
2023-10-05,390.390015,394.720001,390.000000,394.200012,392.453979,2116600
2023-10-06,393.230011,401.000000,390.500000,397.970001,396.207245,2484000
2023-10-09,394.459991,396.500000,389.579987,394.739990,392.991608,2475100
2023-10-10,395.540009,402.720001,393.850006,400.369995,398.596649,2713800
2023-10-11,403.250000,405.130005,397.359985,399.809998,398.039154,2055600
2023-10-12,403.799988,405.339996,397.320007,399.899994,398.128723,1779000
2023-10-13,398.809998,402.140015,395.079987,398.029999,396.267029,2235600
2023-10-16,400.239990,404.429993,398.779999,401.160004,399.383148,2202100
2023-10-17,399.640015,403.609985,398.450012,401.769989,399.990448,2176000
2023-10-18,399.109985,401.369995,392.559998,393.209991,391.468323,1951400
2023-10-19,393.850006,394.829987,385.500000,387.869995,386.151978,3472800
2023-10-20,387.869995,389.989990,384.170013,384.410004,382.707367,2652500
2023-10-23,382.309998,387.859985,381.000000,383.670013,381.970612,1771800
2023-10-24,385.500000,389.429993,383.869995,386.910004,385.196289,2003300
2023-10-25,384.000000,388.630005,382.239990,386.309998,384.598938,3504500
2023-10-26,371.019989,375.549988,363.040009,364.589996,362.975098,6920100
2023-10-27,366.489990,368.290009,359.769989,364.079987,362.467346,3624900
2023-10-30,366.519989,373.230011,364.720001,372.420013,370.770447,3386400
2023-10-31,373.320007,377.679993,373.109985,376.350006,374.683044,2978800
2023-11-01,378.670013,380.399994,375.040009,377.820007,376.146545,2354700
2023-11-02,380.299988,383.040009,378.489990,382.690002,380.994965,2816000
2023-11-03,385.000000,388.440002,383.730011,386.049988,384.340057,2269100
2023-11-06,387.100006,388.250000,384.209991,386.160004,384.449585,2020500
2023-11-07,386.000000,389.589996,384.299988,388.869995,387.147583,2324200
2023-11-08,387.109985,391.369995,387.000000,389.700012,387.973907,2838400
2023-11-09,390.959991,391.450012,387.269989,387.959991,386.241608,2657100
2023-11-10,390.040009,395.089996,386.739990,394.380005,392.633179,2807000
2023-11-13,394.350006,395.630005,393.019989,394.350006,392.603302,1614600
2023-11-14,397.179993,401.679993,396.750000,397.649994,395.888702,2733900
2023-11-15,397.470001,399.279999,394.760010,396.829987,395.072327,2434600
2023-11-16,398.010010,399.950012,395.549988,397.100006,395.341125,3060600
2023-11-17,399.970001,401.119995,397.910004,400.299988,398.526947,2365500
2023-11-20,400.720001,405.200012,398.260010,404.399994,402.608795,2768300
2023-11-21,405.720001,410.350006,405.690002,408.950012,407.138672,2567500
2023-11-22,412.260010,412.850006,410.149994,410.329987,408.512512,1967900
2023-11-24,412.489990,412.970001,410.529999,412.500000,410.672913,1053500
2023-11-27,411.000000,412.720001,408.250000,408.970001,407.158569,2665900
2023-11-28,409.079987,410.640015,407.459991,409.010010,407.198395,2645000
