Date,Open,High,Low,Close,Adj Close,Volume
2023-07-24,425.000000,428.640015,419.190002,428.369995,428.369995,8264400
2023-07-25,427.179993,430.880005,426.130005,427.700012,427.700012,4859800
2023-07-26,424.200012,425.260010,415.589996,422.670013,422.670013,6009200
2023-07-27,426.899994,427.519989,411.880005,413.170013,413.170013,6594500
2023-07-28,415.559998,427.470001,413.760010,425.779999,425.779999,6424200
2023-07-31,426.510010,439.130005,426.299988,438.970001,438.970001,6587600
2023-08-01,437.369995,445.250000,431.399994,438.619995,438.619995,5711500
2023-08-02,435.230011,435.559998,426.559998,429.700012,429.700012,4912200
2023-08-03,427.799988,441.929993,427.190002,431.000000,431.000000,6243900
2023-08-04,433.059998,436.500000,426.269989,431.600006,431.600006,5439700
2023-08-07,436.459991,441.109985,428.910004,440.760010,440.760010,4781300
2023-08-08,440.359985,443.570007,435.100006,438.299988,438.299988,3767200
2023-08-09,439.739990,440.619995,427.589996,428.899994,428.899994,3846600
2023-08-10,431.119995,438.119995,428.690002,429.980011,429.980011,5467600
2023-08-11,428.980011,430.630005,421.329987,421.660004,421.660004,3925200
2023-08-14,421.989990,428.850006,418.779999,427.779999,427.779999,3966000
2023-08-15,424.410004,429.119995,421.040009,423.700012,423.700012,3368000
2023-08-16,423.730011,424.510010,415.250000,415.450012,415.450012,3967000
2023-08-17,415.000000,415.239990,401.579987,403.000000,403.000000,6031500
2023-08-18,399.329987,406.519989,398.149994,404.529999,404.529999,4309200
2023-08-21,402.230011,409.609985,399.500000,408.290009,408.290009,3861600
2023-08-22,409.000000,415.739990,407.399994,413.170013,413.170013,3603300
2023-08-23,418.399994,437.019989,417.709991,427.549988,427.549988,8174700
2023-08-24,425.410004,427.589996,406.170013,406.929993,406.929993,5687800
2023-08-25,412.000000,419.250000,407.559998,416.029999,416.029999,5390900
2023-08-28,418.040009,419.829987,413.269989,418.059998,418.059998,2928600
2023-08-29,416.000000,432.170013,414.500000,429.989990,429.989990,4486700
2023-08-30,430.850006,438.160004,428.350006,434.670013,434.670013,3625400
2023-08-31,431.230011,437.149994,431.230011,433.679993,433.679993,3803000
2023-09-01,437.730011,445.500000,435.929993,439.880005,439.880005,4792100
2023-09-05,438.390015,453.450012,438.000000,448.679993,448.679993,6155900
2023-09-06,448.609985,451.390015,440.489990,445.760010,445.760010,3862300
2023-09-07,441.149994,444.600006,436.700012,443.140015,443.140015,2922700
2023-09-08,443.559998,446.809998,438.850006,442.799988,442.799988,2697500
2023-09-11,443.070007,449.890015,442.750000,445.359985,445.359985,2913800
2023-09-12,442.850006,445.440002,434.119995,434.690002,434.690002,3124000
2023-09-13,435.500000,438.399994,410.690002,412.239990,412.239990,11843000
2023-09-14,410.399994,411.390015,400.000000,400.489990,400.489990,10709000
2023-09-15,401.000000,404.700012,395.029999,396.940002,396.940002,9110700
2023-09-18,395.500000,399.470001,392.600006,394.399994,394.399994,4704700
2023-09-19,392.839996,398.230011,390.250000,396.200012,396.200012,4076800
2023-09-20,397.049988,397.989990,386.119995,386.299988,386.299988,3866600
